StudyHours, Attendance, PastScore, Internet, SleepHours, Passed
2,60,40, Yes,5, No
5,80,60,No,6, Yes
8,90,75, Yes,8, Yes
3,70,50, Yes,5, No
7,85,70,No,7, Yes
1,50,30, No,4, No
6,78,68, Yes,6, Yes
4,65,55, No,5, No
9,951,80, Yes,9, Yes
2,55,35, No,4, No
5,76,65, Yes,6, Yes
6,88,72, Yes,7, Yes
1,40,25, No,3, No
3,60,45, No,4, No
8,92,78, Yes,8, Yes
7,84,69, Yes,7, Yes
4,66,58, No,5, No
9,97,85, Yes,9, Yes
10,99,90, Yes,10, Yes
2,53,32, No,3, No
7,76,53,Yes,5,No
4,67,55,Yes,4,Yes
8,73,39,Yes,7,No
5,86,46,No,7,Yes
7,73,31,Yes,5,Yes
3,87,56,No,4,No
7,83,77,No,6,No
8,89,38,No,5,Yes
5,96,52,Yes,7,No
4,64,56,No,5,No
8,60,72,Yes,4,No
8,71,36,Yes,4,No
3,73,92,Yes,4,Yes
6,50,73,No,8,No
5,67,68,Yes,4,No
2,93,69,Yes,7,No
8,61,36,No,7,No
6,92,54,Yes,8,Yes
2,77,88,No,7,No
5,89,42,Yes,7,No
1,56,91,No,5,No
6,72,37,No,4,Yes
9,70,74,No,5,No
1,83,47,No,5,Yes
3,60,89,No,7,No
7,71,89,Yes,6,No
4,91,31,Yes,4,Yes
9,84,43,Yes,6,Yes
3,78,77,Yes,7,No
5,91,85,No,8,No
3,77,41,No,5,No
7,67,84,Yes,7,No
5,63,57,No,7,No
9,67,33,Yes,6,Yes
7,77,65,No,8,No
2,73,79,No,5,Yes
4,57,32,Yes,8,Yes
9,91,30,Yes,8,No
2,94,46,No,8,No
9,57,91,Yes,4,Yes
5,53,77,Yes,8,Yes
2,76,91,Yes,7,No
4,85,48,Yes,4,Yes
7,54,63,No,4,Yes
8,82,78,No,8,Yes
3,98,76,No,7,No
1,83,79,No,5,No
4,79,55,Yes,8,Yes
2,57,85,Yes,4,Yes
8,88,43,Yes,5,No
4,96,54,No,5,No
2,75,33,No,4,Yes
6,86,61,No,5,No
6,83,94,No,7,No
4,56,90,Yes,7,No
6,89,49,Yes,8,No
2,77,39,Yes,8,No
2,88,63,No,5,Yes
4,88,90,No,4,Yes
8,77,56,No,7,No
7,63,69,No,6,No
9,99,94,No,8,No
8,87,62,No,7,No
5,53,38,Yes,5,Yes
2,91,45,No,7,Yes
5,67,34,No,7,No
8,93,52,No,5,No
9,97,72,Yes,8,No
9,74,86,Yes,8,No
1,56,80,No,6,No
9,87,42,Yes,6,Yes
7,77,53,Yes,8,Yes
9,54,40,Yes,8,No
8,52,81,No,8,No
1,93,46,Yes,8,Yes
8,80,66,Yes,7,Yes
8,96,42,Yes,6,Yes
3,91,91,No,5,No
1,69,37,Yes,4,Yes
8,68,85,No,5,No
3,97,73,Yes,4,No
3,60,89,No,7,Yes
1,89,70,No,6,No
5,52,50,No,4,Yes
7,72,71,No,8,No
9,56,58,No,7,Yes
7,72,94,Yes,4,Yes
9,56,46,Yes,8,Yes
8,95,59,Yes,7,Yes
2,83,55,No,4,No
1,91,82,No,8,Yes
7,68,48,No,6,Yes
7,58,82,Yes,7,Yes
8,97,46,No,4,Yes
5,67,75,No,8,No
3,90,82,No,6,Yes
8,97,93,No,8,No
6,94,74,Yes,6,No
3,91,78,No,4,No
1,74,48,No,8,Yes
3,63,94,No,8,No
5,93,66,No,5,Yes
3,74,55,Yes,7,Yes
1,68,31,No,8,Yes
5,88,88,Yes,6,No
7,64,34,Yes,7,Yes
7,65,66,No,4,No
9,76,60,No,7,No
3,89,77,Yes,5,No
7,59,35,No,4,No
1,53,44,No,8,Yes
4,68,44,Yes,4,Yes
4,77,90,Yes,4,Yes
5,70,45,Yes,5,Yes
7,96,49,Yes,6,Yes
7,63,73,Yes,4,No
4,82,71,Yes,6,No
7,97,75,No,7,No
3,59,63,No,5,Yes
6,68,93,No,8,No
2,79,58,No,4,Yes
9,71,32,No,6,No
5,52,38,No,4,No
6,86,54,No,5,No
4,90,71,No,8,Yes
7,67,75,No,7,Yes
9,60,88,Yes,7,Yes
7,97,50,Yes,6,Yes
1,51,51,No,7,No
1,61,58,No,6,Yes
9,55,92,Yes,8,Yes
9,92,90,Yes,4,No
4,89,93,Yes,5,No
9,93,69,No,8,No
3,78,30,Yes,8,Yes
7,79,94,Yes,7,No
6,51,91,Yes,7,No
8,58,83,No,5,Yes
9,96,89,Yes,4,No
5,51,75,No,8,Yes
1,78,34,Yes,7,Yes
3,82,51,Yes,8,Yes
8,59,82,No,4,No
6,83,61,Yes,6,No
8,93,40,Yes,4,No
9,57,39,Yes,8,Yes
4,86,68,No,8,No
1,82,60,No,5,Yes
1,96,41,No,8,No
4,55,67,Yes,7,Yes
7,93,81,No,5,Yes
2,89,34,Yes,8,Yes
3,94,40,Yes,4,Yes
1,68,54,Yes,8,Yes
5,81,64,Yes,4,Yes
1,76,64,Yes,4,Yes
8,50,51,Yes,8,Yes
1,92,66,Yes,4,Yes
1,82,84,Yes,6,Yes
2,89,93,No,5,Yes
2,81,49,No,8,Yes
6,54,33,Yes,6,No
7,66,47,No,4,No
5,57,80,No,4,Yes
1,91,49,No,5,No
1,83,38,Yes,6,Yes
3,58,55,No,6,No
2,72,54,Yes,8,Yes
5,84,70,No,4,No
6,99,88,No,7,Yes
7,56,74,No,8,No
4,64,70,Yes,8,Yes
7,69,67,Yes,8,No
8,99,48,Yes,5,No
1,74,43,Yes,5,No
6,52,50,Yes,8,Yes
8,95,44,Yes,7,No
5,73,32,Yes,6,No
4,83,66,Yes,6,Yes
2,95,75,Yes,4,Yes
6,71,45,No,6,No
6,60,43,No,6,Yes
1,97,38,Yes,7,No
9,57,36,No,6,No
6,88,43,No,7,Yes
3,92,35,Yes,5,No
4,84,44,Yes,7,No
4,98,81,No,5,Yes
3,95,63,Yes,7,Yes
3,87,30,No,8,No
3,57,49,Yes,5,No
4,86,36,No,5,No
7,76,36,Yes,6,Yes
4,77,79,No,5,No
9,89,31,No,7,No
1,83,76,No,8,No
8,81,43,No,8,Yes
7,64,60,Yes,6,No
2,93,79,No,7,No
8,66,90,Yes,7,Yes
1,82,70,No,4,Yes
9,96,43,Yes,5,No
9,95,34,No,6,Yes
2,65,34,Yes,8,No
7,78,93,No,4,No
3,58,58,No,7,Yes
7,82,34,Yes,5,No
9,98,65,No,8,No
4,78,48,No,4,No
1,62,93,No,7,No
2,70,51,No,8,No
1,70,63,Yes,8,Yes
5,54,85,No,7,No
5,59,46,Yes,7,No
7,55,85,Yes,6,Yes
9,62,46,Yes,8,Yes
9,50,47,Yes,7,Yes
3,69,74,No,4,Yes
3,96,85,No,5,Yes
3,95,79,Yes,6,Yes
4,57,87,No,7,Yes
8,59,47,No,5,Yes
6,58,36,Yes,6,No
8,98,39,Yes,8,No
1,90,32,Yes,5,Yes
8,52,73,No,6,No
4,60,43,Yes,7,No
1,61,33,Yes,7,No
8,59,47,No,6,No
4,74,81,No,8,No
6,98,67,No,6,Yes
8,98,49,No,4,Yes
4,74,73,No,6,No
3,60,80,No,6,Yes
9,85,48,No,7,No
3,88,42,No,8,No
9,75,91,Yes,6,No
2,63,90,No,5,Yes
2,88,59,Yes,7,No
2,89,59,No,7,No
6,50,80,No,6,No
3,53,77,Yes,5,Yes
9,79,62,No,6,No
4,61,48,Yes,5,Yes
1,84,86,No,7,No
4,62,48,Yes,5,No
1,80,70,Yes,6,No
5,87,71,No,4,Yes
4,92,81,Yes,4,No
8,72,33,Yes,5,No
8,53,33,No,6,No
7,65,34,No,8,No
3,56,70,Yes,4,No
1,71,90,No,7,No
1,78,84,Yes,6,Yes
3,60,42,Yes,6,No
6,82,43,Yes,4,Yes
7,78,89,No,8,No
6,88,54,No,7,Yes
6,61,73,Yes,8,No
6,56,39,Yes,7,Yes
3,88,79,Yes,4,No
6,91,73,No,6,Yes
8,97,43,Yes,7,No
2,75,44,No,6,Yes
5,89,45,Yes,5,No
1,58,31,Yes,5,No
1,90,59,Yes,4,No
5,83,59,Yes,4,Yes
3,94,60,No,4,Yes
4,62,49,No,5,Yes
3,85,78,No,7,No
1,74,64,No,8,Yes
1,73,52,No,4,No
5,93,90,Yes,8,No
6,66,84,No,8,No
3,51,37,No,5,No
9,62,69,No,7,No
5,80,88,No,5,No
8,78,61,Yes,4,No
1,99,36,Yes,5,Yes
5,77,31,Yes,5,Yes
3,76,35,No,5,No
1,64,65,Yes,4,No
4,80,61,Yes,4,Yes
5,89,74,No,5,No
7,64,71,No,5,Yes
1,82,82,No,8,No
3,69,38,Yes,7,No
2,91,78,No,8,Yes
9,61,31,Yes,7,Yes
6,86,40,Yes,7,No
3,58,79,Yes,5,No
8,72,64,Yes,8,Yes
8,57,44,Yes,7,Yes
2,81,60,No,7,Yes
6,97,91,Yes,4,No
7,63,57,Yes,7,Yes
2,76,54,Yes,5,No
2,74,54,Yes,6,Yes
1,62,30,Yes,4,Yes
8,70,88,No,6,Yes
1,94,71,Yes,5,Yes
9,80,63,Yes,6,No
6,86,47,Yes,7,No
7,97,34,Yes,6,Yes
7,92,49,No,8,No
3,54,91,Yes,5,No
2,62,61,Yes,8,No
9,77,87,Yes,6,Yes
8,92,79,Yes,8,Yes
7,74,67,No,4,No
9,84,84,No,6,Yes
4,96,57,No,8,Yes
4,88,51,Yes,7,Yes
1,56,72,No,6,Yes
8,87,65,No,4,No
3,81,81,No,7,No
7,52,65,No,6,Yes
2,94,57,No,7,No
2,88,87,Yes,6,No
7,86,65,No,6,No
6,99,38,No,5,No
3,71,50,No,8,No
9,57,93,Yes,6,Yes
6,66,90,Yes,4,No
6,76,69,No,8,No
1,82,85,Yes,5,Yes
4,95,33,Yes,8,Yes
6,66,60,No,8,Yes
6,91,56,Yes,6,No
5,61,87,No,4,No
1,97,54,No,6,Yes
8,95,34,No,4,No
5,76,37,Yes,4,Yes
5,97,38,No,7,Yes
7,57,44,No,6,No
4,72,36,Yes,5,Yes
6,91,44,No,8,No
4,98,66,Yes,7,Yes
3,78,68,Yes,5,Yes
7,99,35,No,6,Yes
8,69,86,Yes,4,No
4,65,48,No,6,Yes
2,66,92,Yes,6,Yes
3,65,60,Yes,7,Yes
1,68,39,Yes,5,No
8,57,91,Yes,7,No
3,87,32,No,5,No
7,87,47,No,7,No
5,78,54,Yes,8,No
5,90,49,No,4,Yes
7,85,87,No,4,Yes
9,75,79,No,4,Yes
5,80,39,No,8,Yes
1,93,50,No,8,No
1,61,58,No,4,Yes
2,66,39,No,4,No
6,64,42,Yes,5,No
9,58,76,No,5,No
8,88,52,Yes,6,Yes
5,91,79,Yes,7,No
1,97,33,Yes,5,Yes
7,61,82,No,5,No
5,81,31,No,5,Yes
6,74,94,Yes,5,Yes
7,88,86,Yes,8,No
3,67,36,No,6,No
3,64,48,No,5,Yes
5,81,73,No,7,Yes
6,55,92,Yes,5,No
9,93,94,Yes,8,No
5,92,68,No,4,No
1,84,55,No,4,Yes
4,83,73,Yes,6,No
5,87,41,No,4,Yes
5,54,51,No,5,No
7,67,43,Yes,8,No
4,65,59,Yes,6,No
1,57,73,Yes,5,Yes
5,74,67,Yes,4,Yes
7,81,88,No,7,Yes
6,75,71,Yes,5,Yes
5,71,81,No,7,No
4,80,92,No,7,No
2,92,90,No,6,No
4,59,63,Yes,8,Yes
3,61,68,Yes,4,Yes
1,77,70,No,4,No
8,55,66,No,5,No
5,69,94,Yes,4,Yes
4,54,61,No,6,Yes
8,72,37,No,4,Yes
7,58,47,No,5,Yes
2,78,74,No,4,No
1,65,62,No,8,Yes
4,95,34,No,7,No
8,71,65,No,7,No
2,57,52,No,7,No
3,69,69,Yes,8,Yes
1,63,34,Yes,6,No
1,88,63,No,5,No
3,86,53,No,8,No
5,99,46,Yes,5,Yes
3,83,51,Yes,6,No
1,60,44,Yes,8,No
1,89,44,No,4,No
8,82,54,Yes,6,Yes
2,80,82,Yes,7,Yes
3,93,50,No,8,No
2,83,61,Yes,6,No
3,99,50,No,6,Yes
7,56,73,Yes,8,Yes
1,98,43,Yes,7,Yes
8,72,44,Yes,7,No
2,95,49,Yes,6,Yes
3,56,63,Yes,5,Yes
9,74,65,No,6,Yes
7,52,38,No,8,Yes
4,87,59,Yes,8,No
5,69,92,No,8,Yes
2,83,64,Yes,7,No
8,98,42,Yes,4,Yes
4,93,75,Yes,8,No
9,93,85,Yes,8,No
5,79,38,Yes,5,No
9,66,65,No,5,No
4,59,32,No,6,Yes
5,84,48,No,6,No
9,69,57,No,6,No
8,67,52,Yes,8,No
3,94,36,No,5,No
1,93,43,Yes,6,No
3,76,75,Yes,5,Yes
4,98,44,No,8,No
2,85,44,No,8,No
1,72,80,Yes,6,No
7,81,37,Yes,8,No
8,59,91,Yes,8,No
7,60,80,No,5,Yes
5,87,92,Yes,4,Yes
1,55,45,Yes,7,Yes
7,90,53,Yes,6,No
7,96,35,Yes,4,No
9,83,86,No,6,Yes
3,85,60,No,4,No
9,86,35,Yes,8,Yes
1,66,58,No,6,No
1,89,32,Yes,4,No
4,89,57,No,7,No
9,61,77,No,8,Yes
6,70,39,No,6,Yes
3,89,62,No,6,Yes
1,68,41,Yes,4,Yes
4,52,86,Yes,6,Yes
9,67,73,Yes,8,Yes
3,68,42,No,5,No
9,96,53,No,4,Yes
7,55,73,Yes,7,Yes
4,65,86,No,6,Yes
3,57,45,No,8,Yes
5,97,50,Yes,6,No
5,67,80,No,7,Yes
3,97,50,Yes,8,Yes
9,92,89,No,7,Yes
4,88,80,Yes,8,Yes
5,98,50,No,5,No
4,98,35,No,8,No
5,61,94,No,7,No
7,94,87,No,4,Yes
9,59,35,No,5,Yes
7,56,94,Yes,6,Yes
5,95,63,No,5,No
7,50,85,Yes,5,No
5,98,32,Yes,6,Yes
3,85,71,Yes,8,Yes
7,70,91,No,5,Yes
2,86,35,Yes,5,No
9,73,35,No,4,Yes
1,74,92,No,4,No
6,56,49,No,7,No
7,91,50,Yes,6,No
8,66,31,No,8,No
9,78,85,No,8,Yes
2,79,39,No,7,No
2,56,52,Yes,8,Yes
5,82,59,Yes,8,No
5,56,66,Yes,4,Yes
6,73,84,Yes,8,No
3,60,78,No,8,No
8,58,63,Yes,7,No
1,61,73,No,7,Yes
6,84,51,Yes,5,No
4,53,60,No,8,No
1,85,36,Yes,8,No
7,77,50,Yes,8,No
9,62,45,Yes,4,Yes
4,72,49,No,8,Yes
4,68,72,No,4,Yes
6,91,73,Yes,5,Yes
3,86,76,Yes,6,No
6,88,48,Yes,8,No
7,73,77,Yes,7,No
3,65,40,Yes,7,Yes
7,82,58,Yes,8,No
3,61,74,No,4,Yes
2,83,65,No,7,Yes
4,56,77,No,7,Yes
8,60,44,No,5,No
9,80,73,No,5,No
7,78,69,No,5,No
1,62,43,Yes,7,Yes
3,80,92,Yes,7,No
9,51,80,Yes,8,No
1,88,87,Yes,8,Yes
9,64,44,Yes,4,No
8,60,94,No,7,No
1,83,84,No,8,Yes
6,88,39,No,8,Yes
5,53,71,No,5,No
6,60,40,No,5,Yes
5,78,45,Yes,5,No
6,51,48,No,6,No
5,65,60,No,8,Yes
5,88,82,No,5,Yes
4,62,37,Yes,5,Yes
3,86,53,Yes,7,Yes
3,66,37,Yes,5,No
4,70,77,Yes,7,Yes
9,93,59,Yes,4,Yes
2,68,87,Yes,5,Yes
9,56,84,No,7,Yes
1,87,91,No,5,No
